Tamanho;Metodo;Classe;TempoMedio
10;multiplicaMatrizes;MatrizEsparsaEstática;0,000019
10;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000001
10;obterTransposta;MatrizEsparsaEstática;0,000009
10;obterTransposta;MatrizEsparsaLinkedList;0,000001
10;somarMatrizes;MatrizEsparsaEstática;0,000008
10;somarMatrizes;MatrizEsparsaLinkedList;0,000001
20;multiplicaMatrizes;MatrizEsparsaEstática;0,000134
20;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000001
20;obterTransposta;MatrizEsparsaEstática;0,000019
20;obterTransposta;MatrizEsparsaLinkedList;0,000001
20;somarMatrizes;MatrizEsparsaEstática;0,000023
20;somarMatrizes;MatrizEsparsaLinkedList;0,000001
30;multiplicaMatrizes;MatrizEsparsaEstática;0,000169
30;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000001
30;obterTransposta;MatrizEsparsaEstática;0,000041
30;obterTransposta;MatrizEsparsaLinkedList;0,000001
30;somarMatrizes;MatrizEsparsaEstática;0,00005
30;somarMatrizes;MatrizEsparsaLinkedList;0,000001
40;multiplicaMatrizes;MatrizEsparsaEstática;0,000145
40;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000001
40;obterTransposta;MatrizEsparsaEstática;0,000066
40;obterTransposta;MatrizEsparsaLinkedList;0,000002
40;somarMatrizes;MatrizEsparsaEstática;0,000083
40;somarMatrizes;MatrizEsparsaLinkedList;0,000002
50;multiplicaMatrizes;MatrizEsparsaEstática;0,000236
50;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000001
50;obterTransposta;MatrizEsparsaEstática;0,0001
50;obterTransposta;MatrizEsparsaLinkedList;0,000002
50;somarMatrizes;MatrizEsparsaEstática;0,000126
50;somarMatrizes;MatrizEsparsaLinkedList;0,000002
100;multiplicaMatrizes;MatrizEsparsaEstática;0,00052
100;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000003
100;obterTransposta;MatrizEsparsaEstática;0,000107
100;obterTransposta;MatrizEsparsaLinkedList;0,000003
100;somarMatrizes;MatrizEsparsaEstática;0,00013
100;somarMatrizes;MatrizEsparsaLinkedList;0,000004
200;multiplicaMatrizes;MatrizEsparsaEstática;0,002891
200;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000004
200;obterTransposta;MatrizEsparsaEstática;0,000198
200;obterTransposta;MatrizEsparsaLinkedList;0,000005
200;somarMatrizes;MatrizEsparsaEstática;0,000186
200;somarMatrizes;MatrizEsparsaLinkedList;0,000007
500;multiplicaMatrizes;MatrizEsparsaEstática;0,131139
500;multiplicaMatrizes;MatrizEsparsaLinkedList;0,00001
500;obterTransposta;MatrizEsparsaEstática;0,000343
500;obterTransposta;MatrizEsparsaLinkedList;0,000009
500;somarMatrizes;MatrizEsparsaEstática;0,000163
500;somarMatrizes;MatrizEsparsaLinkedList;0,000015
1000;multiplicaMatrizes;MatrizEsparsaEstática;1,053115
1000;multiplicaMatrizes;MatrizEsparsaLinkedList;0,00002
1000;obterTransposta;MatrizEsparsaEstática;0,002444
1000;obterTransposta;MatrizEsparsaLinkedList;0,000018
1000;somarMatrizes;MatrizEsparsaEstática;0,001485
1000;somarMatrizes;MatrizEsparsaLinkedList;0,000028
10000;multiplicaMatrizes;MatrizEsparsaEstática;1162,024857
10000;multiplicaMatrizes;MatrizEsparsaLinkedList;0,000167
10000;obterTransposta;MatrizEsparsaEstática;0,684629
10000;obterTransposta;MatrizEsparsaLinkedList;0,000123
10000;somarMatrizes;MatrizEsparsaEstática;0,133166
10000;somarMatrizes;MatrizEsparsaLinkedList;0,000132
